Player,Squad,Age,Pos_clean,Comp,valor_real,valor_predicho,diferencia,diferencia_pct
Jarrod Bowen,West Ham,27.0,FW,eng Premier League,41.00000000000001,40.15905,-0.8409500122070384,-0.020510975907488738
Marash Kumbulla,Espanyol,24.0,DF,es La Liga,8.5,12.300483,3.800482749938965,0.4471156176398782
Omar Alderete,Getafe,27.0,DF,es La Liga,9.000000000000002,7.6099863,-1.3900136947631854,-0.15444596608479835
Jonathan Tah,Leverkusen,28.0,DF,de Bundesliga,31.0,21.147799,-9.852201461791992,-0.31781295038038687
Hauke Wahl,St. Pauli,30.0,DF,de Bundesliga,2.5,5.1193194,2.619319438934326,1.0477277755737304
Aimar Oroz,Osasuna,22.0,MF,es La Liga,15.999999999999998,19.907375,3.907375335693361,0.2442109584808351
Jaka Bijol,Udinese,25.0,DF,it Serie A,18.999999999999996,17.179422,-1.8205776214599574,-0.09581987481368198
Martín Zubimendi,Real Sociedad,25.0,MF,es La Liga,61.00000000000001,28.319246,-32.68075370788575,-0.5357500607850122
Chris Wood,Nott'ham Forest,32.0,FW,eng Premier League,11.000000000000002,10.484631,-0.5153694152832049,-0.046851765025745895
Jan Paul van Hecke,Brighton,24.0,DF,eng Premier League,33.0,45.94871,12.948711395263672,0.39238519379586884
Lucas Torró,Osasuna,30.0,MF,es La Liga,4.0,5.0525556,1.0525555610656738,0.26313889026641846
Ante Budimir,Osasuna,33.0,FW,es La Liga,6.0,7.0589647,1.058964729309082,0.17649412155151367
Enzo Fernández,Chelsea,23.0,MF,eng Premier League,76.0,80.48376,4.483757019042969,0.058996802882144324
Enrico Del Prato,Parma,24.0,DF,it Serie A,7.499999999999999,13.545386,6.045386314392091,0.8060515085856121
Sergi Cardona,Villarreal,25.0,DF,es La Liga,11.000000000000002,14.623762,3.623762130737303,0.32943292097611837
Jeffrey Gouweleeuw,Augsburg,33.0,DF,de Bundesliga,2.5,3.281858,0.781857967376709,0.3127431869506836
Scott McTominay,Napoli,27.0,MF,it Serie A,51.0,32.442455,-18.557544708251953,-0.3638734256519991
Ezri Konsa,Aston Villa,26.0,DF,eng Premier League,36.0,26.27978,-9.720220565795898,-0.27000612682766384
Fabian Schär,Newcastle Utd,32.0,DF,eng Premier League,7.999999999999998,8.429858,0.4298582077026385,0.053732275962829826
Diego Coppola,Hellas Verona,20.0,DF,it Serie A,11.000000000000002,10.714459,-0.2855405807495135,-0.025958234613592132
James Tarkowski,Everton,31.0,DF,eng Premier League,10.000000000000002,8.127933,-1.8720674514770526,-0.18720674514770522
